Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
270199: ΠΟΤΑΜΟΥ,"270199","270199",ΠΟΤΑΜΟΥ,POTAMOY,ΠΟΤΑΜΟΥ,"522"
270200: ΜΑΝΙΑΚΙΟΥ,"270200","270200",ΜΑΝΙΑΚΙΟΥ,MANIAKIOY,ΕΡΜΙΟΝΗΣ,"522"
270201: ΑΡΓΟΥΣ,"270201","270201",ΑΡΓΟΥΣ,ARGOYS,ΑΡΓΟΥΣ,"523"
270202: ΠΕΛΟΠΟΝΝΗΣΟΥ,"270202","270202",ΠΕΛΟΠΟΝΝΗΣΟΥ,PELOPONNHSOY,ΠΕΛΟΠΟΝΝΗΣΟΥ,"522"
270203: ΠΛ. ΓΡΑΜΜΟΥ,"270203","11945",ΠΛ. ΓΡΑΜΜΟΥ,PL. GRAMMOU,ΓΡΑΜΜΟΥ,"522"
270204: ΚΑΛΑΜΑΤΑΣ,"270204","270204",ΚΑΛΑΜΑΤΑΣ,KALAMATAS,ΑΧΑΙΑΣ,"522, 523"
270205: ΣΕΣΙΛ,"270205","270205",ΣΕΣΙΛ,SESIL,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"530"
270206: ΑΥΡΑΣ,"270206","270206",ΑΥΡΑΣ,AYRAS,ΞΕΝΙΑΣ,"526"
270207: ΠΕΥΚΩΝ,"270207","270207",ΠΕΥΚΩΝ,PEYKON,ΞΕΝΙΑΣ,"526"
270208: ΘΕΤΙΔΟΣ,"270208","270208",ΘΕΤΙΔΟΣ,THETIDOS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"526"
270209: ΕΥΡΥΑΛΗΣ,"270209","270209",ΕΥΡΥΑΛΗΣ,EYRYALHS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"526"
270210: ΠΑΝ. ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"270210","270210",ΠΑΝ. ΕΛΕΥΘΕΡΩΤΡΙΑΣ,PAN. ELEYTHEROTRIAS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"526"
270211: ΠΛΑΤΩΝΟΣ,"270211","270211",ΠΛΑΤΩΝΟΣ,PLATONOS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"526"
270212:  ΠΛ. ΠΟΛΙΤΕΙΑΣ,"270212","270212",ΠΛ. ΠΟΛΙΤΕΙΑΣ,PL. POLITEIAS,ΠΛ.ΠΟΛΙΤΕΙΑΣ,"526"
270213: 5η ΚΟΚΚΙΝΑΡΑ,"270213","270213",5η ΚΟΚΚΙΝΑΡΑ,5th KOKKINARA,ΚΟΚΚΙΝΑΡΑ,"526"
270214: 4η ΚΟΚΚΙΝΑΡΑ,"270214","270214",4η ΚΟΚΚΙΝΑΡΑ,4th KOKKINARA,ΚΟΚΚΙΝΑΡΑ,"526"
270215: 3η ΚΟΚΚΙΝΑΡΑ,"270215","270215",3η ΚΟΚΚΙΝΑΡΑ,3rd KOKKINARA,ΚΟΚΚΙΝΑΡΑ,"526"
270216: ΣΕΣΙΛ,"270216","270216",ΣΕΣΙΛ,SESIL,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"526"
