Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
130189: ΦΥΤΩΡΙΑ,"130189","130189",ΦΥΤΩΡΙΑ,FYTORIA,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130190: ΑΓ. ΑΠΟΣΤΟΛΟΙ,"130190","130190",ΑΓ. ΑΠΟΣΤΟΛΟΙ,AG. APOSTOLOI,ΛΕΩΦ.ΔΗΜΟΚΡΑΤΙΑΣ,"728, Α10, Β10"
130191: ΔΙΑΣΤΑΥΡΩΣΗ ΤΑΤΟΪΟΥ,"130191","130191",ΔΙΑΣΤΑΥΡΩΣΗ ΤΑΤΟΪΟΥ,DIASTAYROSH TATOIOY,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130192: ΕΝΥΟΥΣ,"130192","130192",ΕΝΥΟΥΣ,ENYOYS,ΕΝΥΟΥΣ,"712"
130193: ΑΘΗΝΑΣ ΥΓΕΙΑΣ,"130193","130193",ΑΘΗΝΑΣ ΥΓΕΙΑΣ,ATHINAS YGEIAS,ΑΘΗΝΑΣ ΥΓΕΙΑΣ,"712"
130194: 7η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130194","130194",7η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,7th AG. PARASKEYHS,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"752"
130195: ΓΕΦΥΡΑΚΙ,"130195","130195",ΓΕΦΥΡΑΚΙ,GEFYRAKI,ΡΕΜΑ ΧΕΛΙΔΟΝΟΥΣ,"721, 734"
130196: ΜΙΝΩΟΣ,"130196","130196",ΜΙΝΩΟΣ,MINOOS,ΑΓ.ΤΡΙΑΔΟΣ,"755, 755Β"
130197: ΔΙΑΣΤΑΥΡΩΣΗ ΤΑΤΟΪΟΥ,"130197","130197",ΔΙΑΣΤΑΥΡΩΣΗ ΤΑΤΟΪΟΥ,DIASTAYROSH TATOIOY,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130198: ΚΑΤΕΒΑΣΙΑΣ,"130198","130198",ΚΑΤΕΒΑΣΙΑΣ,KATEBASIAS,ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"727"
130199: ΦΥΤΩΡΙΑ,"130199","130199",ΦΥΤΩΡΙΑ,FYTORIA,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130200: ΠΛ. ΑΓ. ΤΡΙΑΔΟΣ,"130200","130200",ΠΛ. ΑΓ. ΤΡΙΑΔΟΣ,PL. AG. TRIADOS,ΑΓ.ΤΡΙΑΔΟΣ,"755, 755Β"
130201: ΚΑΡΑΜΑΝΛΗ,"130201","130201",ΚΑΡΑΜΑΝΛΗ,KARAMANLH,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130202: ΜΕΣΟΝΥΧΙΟΥ,"130202","130202",ΜΕΣΟΝΥΧΙΟΥ,MESONYXIOY,ΜΕΣΟΝΥΧΙΟΥ,"724, 725, 726, 727, 755, 755Β, Α10"
130203: ΑΓ. ΓΕΩΡΓΙΟΣ,"130203","130203",ΑΓ. ΓΕΩΡΓΙΟΣ,AG. GEORGIOS,ΝΕΑΣ ΔΙΑΝΟΙΧΘΕΙΣΑΣ ΟΔΟΥ,"504, 537"
130205: ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"130205","130205",ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,XENODOXOYPALLHLON,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 740"
130206: ΜΕΣΟΝΥΧΙ,"130206","130206",ΜΕΣΟΝΥΧΙ,MESONYXI,ΠΑΡΝΗΘΟΣ,"752"
130209: ΑΡΙΣΤΟΤΕΛΟΥΣ,"130209","130209",ΑΡΙΣΤΟΤΕΛΟΥΣ,ARISTOTELOYS,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734, 755"
130210: ΔΕΗ,"130210","130210",ΔΕΗ,DEH,ΠΑΡΝΗΘΟΣ,"752, Β10"
130211: ΧΕΛΜΟΥ,"130211","130211",ΧΕΛΜΟΥ,XELMOY,ΑΓ.ΤΡΙΑΔΟΣ,"755, 755Β"
130212: ΠΟΛΕΟΔΟΜΙΑ,"130212","130212",ΠΟΛΕΟΔΟΜΙΑ,POLEODOMIA,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130213: ΤΑΤΟΙΟΥ,"130213","130213",ΤΑΤΟΙΟΥ,TATOIOY,ΤΑΤΟΙΟΥ,"724"
130214: 1η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130214","130214",1η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,1st AG. PARASKEYHS,ΑΕΤΟΠΕΤΡΑΣ,"752"
130215: 1η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130215","130215",1η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,1st AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130216: 2η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130216","130216",2η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,2nd AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130217: 3η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130217","130217",3η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,3rd AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130218: 4η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130218","130218",4η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,4th AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130219: 5η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130219","130219",5η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,5th AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130220: 6η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,"130220","130220",6η ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,6th AG. KONSTANTINOY,ΜΟΛΑΣ,"727"
130222: ΔΙΑΣΤΑΥΡΩΣΗ ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"130222","130222",ΔΙΑΣΤΑΥΡΩΣΗ ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,DIASTAYROSH THRAKOMAKEDONON,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130223: 1η ΜΕΣΟΝΥΧΙΟΥ,"130223","130223",1η ΜΕΣΟΝΥΧΙΟΥ,1st MESONYXIOY,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"727"
130225: 3η ΜΕΣΟΝΥΧΙΟΥ,"130225","130225",3η ΜΕΣΟΝΥΧΙΟΥ,3rd MESONYXIOY,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"727"
130226: 4η ΜΕΣΟΝΥΧΙΟΥ,"130226","130226",4η ΜΕΣΟΝΥΧΙΟΥ,4th MESONYXIOY,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"727"
130227: 5η ΜΕΣΟΝΥΧΙΟΥ,"130227","130227",5η ΜΕΣΟΝΥΧΙΟΥ,5th MESONYXIOY,ΑΡΓΟΝΑΥΤΩΝ,"727"
130228: 6η ΜΕΣΟΝΥΧΙΟΥ,"130228","130228",6η ΜΕΣΟΝΥΧΙΟΥ,6th MESONYXIOY,ΑΡΓΟΝΑΥΤΩΝ,"727"
130229: 7η ΜΕΣΟΝΥΧΙΟΥ,"130229","130229",7η ΜΕΣΟΝΥΧΙΟΥ,7th MESONYXIOY,ΑΡΓΟΝΑΥΤΩΝ,"727"
130230: 8η ΜΕΣΟΝΥΧΙΟΥ,"130230","130230",8η ΜΕΣΟΝΥΧΙΟΥ,8th MESONYXIOY,ΚΕΡΑΜΙΔΙΟΥ,"727"
130231: 9η ΜΕΣΟΝΥΧΙΟΥ,"130231","130231",9η ΜΕΣΟΝΥΧΙΟΥ,9th MESONYXIOY,ΣΠΥΡ.ΝΟΥΣΗ,"727"
130232: ΣΧΟΛΕΙΑ,"130232","130232",ΣΧΟΛΕΙΑ,SXOLEIA,ΣΑΜΨΟΥΝΤΟΣ,"752"
130233: ΣΧΟΛΕΙΑ,"130233","130233",ΣΧΟΛΕΙΑ,SXOLEIA,ΣΑΜΨΟΥΝΤΟΣ,"728"
130235: ΚΑΤΕΒΑΣΙΑΣ,"130235","130235",ΚΑΤΕΒΑΣΙΑΣ,KATEBASIAS,ΙΒΙΣΚΟΥ,"740"
130237: ΜΟΝΟΜΑΤΙ,"130237","130237",ΜΟΝΟΜΑΤΙ,MONOMATI,ΙΒΙΣΚΟΥ ΕΝΑΝΤΙ ΑΙΘΜΟΥ,"740"
130238: ΜΟΝΟΜΑΤΙ,"130238","130238",ΜΟΝΟΜΑΤΙ,MONOMATI,ΙΒΙΣΚΟΥ,"740"
130239: Ν. ΚΑΡΒΑΛΗΣ,"130239","130239",Ν. ΚΑΡΒΑΛΗΣ,N. KARVALHS,ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"727"
130240: ΣΠΟΡΑΔΩΝ,"130240","130240",ΣΠΟΡΑΔΩΝ,SPORADON,ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"727"
130241: ΑΦΟΠΛΙΣΜΟΥ,"130241","130241",ΑΦΟΠΛΙΣΜΟΥ,AFOPLISMOY,ΡΑΠΤΗ,"727"
130242: ΜΠΙΖΑΝΙΟΥ,"130242","130242",ΜΠΙΖΑΝΙΟΥ,MPIZANIOY,ΡΑΠΤΗ,"727"
130243: ΝΑΟΥΣΗΣ,"130243","130243",ΝΑΟΥΣΗΣ,NAOYSHS,ΡΟΥΜΕΛΗΣ,"727"
130244: ΑΓΩΝΙΣΤΩΝ,"130244","130244",ΑΓΩΝΙΣΤΩΝ,AGONISTON,ΡΟΥΜΕΛΗΣ,"727"
130245: ΜΟΛΑΣ,"130245","130245",ΜΟΛΑΣ,MOLAS,ΜΟΛΑΣ,"727"
130246: ΔΙΑΣΤΑΥΡΩΣΗ,"130246","130246",ΔΙΑΣΤΑΥΡΩΣΗ,DIASTAYROSH,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130247: ΕΡΙΒΑΣ,"130247","130247",ΕΡΙΒΑΣ,ERIBAS,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130248: ΑΓ. ΤΡΙΑΔΑ,"130248","130248",ΑΓ. ΤΡΙΑΔΑ,AG. TRIADA,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130249: ΜΗΛΙΑΣ,"130249","130249",ΜΗΛΙΑΣ,MHLIAS,ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"727"
130250: ΕΣΤΙΑΣ,"130250","130250",ΕΣΤΙΑΣ,ESTIAS,ΡΑΠΤΗ,"727"
130251: ΚΑΤΕΒΑΣΙΑΣ,"130251","130251",ΚΑΤΕΒΑΣΙΑΣ,KATEBASIAS,ΙΒΙΣΚΟΥ,"740"
130252: ΛΑΘΕΑΣ,"130252","130252",ΛΑΘΕΑΣ,LATHEAS,ΠΛΗΘΩΝΟΣ ΓΕΜΙΣΤΟΥ,"740"
130255: 8η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130255","130255",8η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,8th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"504, 740"
130256: 7η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130256","130256",7η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,7th OLYMPIAKOY XORIOY,ΚΑΧΙ ΚΑΚΙΑΣΒΙΛΙ,"504, 740"
130259: 4η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130259","130259",4η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,4th OLYMPIAKOY XORIOY,ΣΠΥΡΟΥ ΛΟΥΗ,"504, 537, 740"
130260: ΣΚΙΑΘΟΥ,"130260","130260",ΣΚΙΑΘΟΥ,SKIATHOY,ΛΑΘΕΑΣ,"740, 755, 755Β"
130261: 12η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130261","130261",12η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,12th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"740"
130262: ΟΛΥΜΠΙΑΔΩΝ,"130262","130262",ΟΛΥΜΠΙΑΔΩΝ,OLYMPIADON,ΟΛΥΜΠΙΑΔΩΝ,"728"
130263: ΣΦΑΓΗΣ ΧΙΟΥ,"130263","130263",ΣΦΑΓΗΣ ΧΙΟΥ,SFAGHS XIOY,ΣΤΑΣΗ ΙΣΙΔΩΡΟΥ,"728"
130264: ΙΣΙΔΩΡΟΥ,"130264","130264",ΙΣΙΔΩΡΟΥ,ISIDOROY,ΑΓ.ΔΙΟΝΥΣΙΟΥ,"728, 752"
130265: ΦΙΛΕΛΛΗΝΩΝ,"130265","130265",ΦΙΛΕΛΛΗΝΩΝ,FILELLHNON,ΑΓ.ΔΙΟΝΥΣΙΟΥ,"752"
130266: ΔΕΗ,"130266","130266",ΔΕΗ,DEH,ΠΑΡΝΗΘΟΣ,"721, 728, Β10"
130267: ΜΙΛΤΙΑΔΟΥ,"130267","130267",ΜΙΛΤΙΑΔΟΥ,MILTIADOY,ΜΕΓ.ΒΑΣΙΛΕΙΟΥ,"733"
130268: ΑΛΚΑΜΕΝΟΥΣ,"130268","130268",ΑΛΚΑΜΕΝΟΥΣ,ALKAMENOYS,ΜΕΓ.ΒΑΣΙΛΕΙΟΥ,"733"
130269: ΑΦΡΟΔΙΤΗΣ,"130269","130269",ΑΦΡΟΔΙΤΗΣ,AFRODITHS,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130270: ΠΑΛΙΓΓΕΝΕΣΙΑΣ,"130270","130270",ΠΑΛΙΓΓΕΝΕΣΙΑΣ,PALIGGENESIAS,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130271: ΛΑΤΤΑ,"130271","130271",ΛΑΤΤΑ,LATTA,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130272: ΛΑΤΤΑ,"130272","130272",ΛΑΤΤΑ,LATTA,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130273: ΠΑΛΙΓΓΕΝΕΣΙΑΣ,"130273","130273",ΠΑΛΙΓΓΕΝΕΣΙΑΣ,PALIGGENESIAS,ΑΝΕΞΑΡΤΗΣΙΑΣ,"712, 733, 735, 878, 879"
130274: ΑΦΡΟΔΙΤΗΣ,"130274","130274",ΑΦΡΟΔΙΤΗΣ,AFRODITHS,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733, 735, 878, 879"
130275: ΙΟΛΗΣ,"130275","130275",ΙΟΛΗΣ,IOLHS,ΠΕΡΙΦ.ΟΔΟ ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"504, 537"
130276: ΜΙΛΤΙΑΔΟΥ,"130276","130276",ΜΙΛΤΙΑΔΟΥ,MILTIADOY,ΜΕΓ.ΒΑΣΙΛΕΙΟΥ,"733, 735, 878, 879"
130277: ΣΚΙΑΘΟΥ,"130277","130277",ΣΚΙΑΘΟΥ,SKIATHOY,ΛΑΘΕΑΣ,"740, 755, 755Β"
130279: ΓΕΦΥΡΑΚΙ,"130279","130279",ΓΕΦΥΡΑΚΙ,GEFYRAKI,ΚΗΦΙΣΙΑΣ,"721, 734"
130280: ΓΥΜΝΑΣΤΗΡΙΟ,"130280","130280",ΓΥΜΝΑΣΤΗΡΙΟ,GYMNASTHRIO,ΑΡΙΣΤΟΤΕΛΟΥΣ,"537, 728, 734, 735"
130281: ΤΑΤΟΙΟΥ,"130281","130281",ΤΑΤΟΙΟΥ,TATOIOY,ΤΑΤΟΙΟΥ,"724"
130282: ΕΡΓΑΤΙΚΕΣ ΠΟΛΥΚΑΤΟΙΚΙΕΣ,"130282","130282",ΕΡΓΑΤΙΚΕΣ ΠΟΛΥΚΑΤΟΙΚΙΕΣ,ERGATIKES POLYKATOIKIES,ΑΧΑΡΝΩΝ(ΥΠΑΡΧΟΝ ΠΛΑΤΩΜΑ),"735, 878, 879"
130283: ΓΙΑΝΝΑΚΟΥ,"130283","130283",ΓΙΑΝΝΑΚΟΥ,GIANNAKOY,ΛΑΘΕΑΣ,"740, 755, 755Β"
130284: 1η ΚΑΡΑΜΑΝΛΗ,"130284","130284",1η ΚΑΡΑΜΑΝΛΗ,1st KARAMANLH,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724"
130285: ΠΛΗΘΩΝΟΣ ΓΕΜΙΣΤΟΥ,"130285","130285",ΠΛΗΘΩΝΟΣ ΓΕΜΙΣΤΟΥ,PLHTHONOS GEMISTOY,ΛΑΘΕΑΣ,"740"
130286: 4η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130286","130286",4η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,4th OLYMPIAKOY XORIOY,ΣΠΥΡΟΥ ΛΟΥΗ,"504, 537, 727, 740"
130287: 2η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130287","130287",2η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,2nd AG. PARASKEYHS,ΑΕΤΟΠΕΤΡΑΣ,"752"
130288: ΜΟΝΑΣΤΗΡΙ,"130288","130288",ΜΟΝΑΣΤΗΡΙ,MONASTHRI,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"752"
130289: 4η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130289","130289",4η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,4th AG. PARASKEYHS,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"752"
130291: 6η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130291","130291",6η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,6th AG. PARASKEYHS,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"752"
130292: ΣΟΛΩΜΟΥ,"130292","130292",ΣΟΛΩΜΟΥ,SOLOMOY,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724"
130293: ΣΟΛΩΜΟΥ,"130293","130293",ΣΟΛΩΜΟΥ,SOLOMOY,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724"
130294: ΥΓΕΙΑΣ,"130294","130294",ΥΓΕΙΑΣ,YGEIAS,ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ,"727"
130297: ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"130297","130297",ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,HROON POLYTEXNEIOY,ΑΡΙΣΤΟΤΕΛΟΥΣ,"740, Β10"
130298: 5η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,"130298","130298",5η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5th AG. PARASKEYHS,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"752"
130299: 8η ΠΑΡΝΗΘΟΣ,"130299","130299",8η ΠΑΡΝΗΘΟΣ,8th PARNHTHOS,ΠΑΡΝΗΘΟΣ,"752, Β10"
130300: ΠΑΛΑΙΟ ΤΕΡΜΑ,"130300","130300",ΠΑΛΑΙΟ ΤΕΡΜΑ,PALAIO TERMA,ΑΓ.ΠΕΤΡΟΥ,"728"
130301: 8η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130301","130301",8η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,8th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"504, 740"
130302: ΜΟΝΟΜΑΤΙ,"130302","130302",ΜΟΝΟΜΑΤΙ,MONOMATI,ΔΕΚΕΛΕΙΑΣ,"721, 734"
130303: ΑΓ. ΛΕΩΝΙΔΑΣ,"130303","130303",ΑΓ. ΛΕΩΝΙΔΑΣ,AG. LEONIDAS,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130304: ΛΥΡΑ,"130304","130304",ΛΥΡΑ,LYRA,ΔΕΚΕΛΕΙΑΣ,"537, 721, 734"
130305: ΠΛΑΤΕΙΑ,"130305","130305",ΠΛΑΤΕΙΑ,PLATEIA,ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΥ,"537, 721, 734, 755"
130306: ΡΟΥΜΕΛΗΣ,"130306","130306",ΡΟΥΜΕΛΗΣ,ROYMELHS,ΡΟΥΜΕΛΗΣ,"727"
130307: ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"130307","130307",ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,THRAKOMAKEDONON,ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"725, 726"
130308: ΔΕΚΕΛΕΙΑΣ,"130308","130308",ΔΕΚΕΛΕΙΑΣ,DEKELEIAS,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724"
130309: 1η ΚΑΡΑΜΑΝΛΗ,"130309","130309",1η ΚΑΡΑΜΑΝΛΗ,1st KARAMANLH,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724"
130310: 9η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130310","130310",9η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,9th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"504, 740"
130311: ΕΡΙΒΑΣ,"130311","130311",ΕΡΙΒΑΣ,ERIBAS,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130314: ΑΛΚΙΜΟΥ,"130314","130314",ΑΛΚΙΜΟΥ,ALKIMOY,ΠΑΝΑΓ.ΝΤΑΡΔΙΖΑΣ,"752"
130316: 2η ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"130316","130316",2η ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,2nd THRAKOMAKEDONON,ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"755, 755Β, Α10"
130317: 3η ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"130317","130317",3η ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,3rd THRAKOMAKEDONON,ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,"755, 755Β, Α10"
130318: ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ,"130318","130318",ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ,EYAGGELISTRIAS,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ,"712, 752"
130319: 2η ΑΓ. ΔΙΟΝΥΣΙΟΥ,"130319","130319",2η ΑΓ. ΔΙΟΝΥΣΙΟΥ,2nd AG. DIONYSIOY,ΠΑΝΑΓ.ΝΤΑΡΔΙΖΑΣ,"728"
130320: 3η ΑΓ. ΔΙΟΝΥΣΙΟΥ,"130320","130320",3η ΑΓ. ΔΙΟΝΥΣΙΟΥ,3rd AG. DIONYSIOY,ΠΑΝΑΓ.ΝΤΑΡΔΙΖΑΣ,"752"
130321: 10η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130321","130321",10η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,10th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"504, 740"
130322: ΤΕΡΜΑ - ΑΠΟΒΙΒΑΣΗ,"130322","130322",ΤΕΡΜΑ - ΑΠΟΒΙΒΑΣΗ,TERMA - APOBIBASH,ΜΕΣΟΝΥΧΙΟΥ,"724, 725, 726, 727, 755"
130323: Ε. ΓΚΕΛΑ,"130323","130323",Ε. ΓΚΕΛΑ,E. GKELA,ΑΡΙΣΤΟΤΕΛΟΥΣ,"537, 721, 734, 755, 755Β"
130324: ΔΕΔΕ,"130324","130324",ΔΕΔΕ,DEDE,ΑΡΙΣΤΟΤΕΛΟΥΣ,"755, 755Β"
130325: ΠΙΝΔΟΥ,"130325","130325",ΠΙΝΔΟΥ,PINDOY,ΑΡΙΣΤΟΤΕΛΟΥΣ,"755, 755Β"
130326: 11η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130326","130326",11η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,11th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"740"
130327: ΣΤΡΙΦΤΟΥ,"130327","130327",ΣΤΡΙΦΤΟΥ,STRIFTOY,ΑΡΙΣΤΟΤΕΛΟΥΣ,"755, 755Β"
130328: 12η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130328","130328",12η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,12th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"740"
130330: ΝΕΟΣ ΟΙΚΙΣΜΟΣ,"130330","130330",ΝΕΟΣ ΟΙΚΙΣΜΟΣ,NEOS OIKISMOS,ΣΤΡ\ΓΟΥ ΚΑΛΛΑΡΗ,"728"
130331: ΚΑΡΑΜΑΝΛΗ,"130331","130331",ΚΑΡΑΜΑΝΛΗ,KARAMANLH,ΛΕΩΦ.ΚΩΝ.ΚΑΡΑΜΑΝΛΗ,"724, 727"
130332: ΑΧΑΡΝΑΙΩΝ ΙΠΠΕΩΝ,"130332","130332",ΑΧΑΡΝΑΙΩΝ ΙΠΠΕΩΝ,AXARNAION IPPEON,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130333: ΑΧΑΡΝΑΙΩΝ ΙΠΠΕΩΝ,"130333","130333",ΑΧΑΡΝΑΙΩΝ ΙΠΠΕΩΝ,AXARNAION IPPEON,ΑΝΕΞΑΡΤΗΣΙΑΣ,"733"
130335: ΑΓ. ΓΕΩΡΓΙΟΣ,"130335","130335",ΑΓ. ΓΕΩΡΓΙΟΣ,AG. GEORGIOS,ΝΕΑΣ ΔΙΑΝΟΙΧΘΕΙΣΑΣ ΟΔΟΥ,"504, 537"
130336: ΙΒΙΣΚΟΥ,"130336","130336",ΙΒΙΣΚΟΥ,IBISKOY,ΙΒΙΣΚΟΥ,"740"
130337: ΑΓ. ΠΕΤΡΟΥ,"130337","130337",ΑΓ. ΠΕΤΡΟΥ,AG. PETROY,ΑΓ.ΔΙΟΝΥΣΙΟΥ,"752"
130338: ΑΓ. ΠΕΤΡΟΥ,"130338","130338",ΑΓ. ΠΕΤΡΟΥ,AG. PETROY,ΑΓ.ΔΙΟΝΥΣΙΟΥ,"728"
130339: ΙΒΙΣΚΟΥ,"130339","130339",ΙΒΙΣΚΟΥ,IBISKOY,ΙΒΙΣΚΟΥ,"740"
130340: 10η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,"130340","130340",10η ΟΛΥΜΠΙΑΚΟΥ ΧΩΡΙΟΥ,10th OLYMPIAKOY XORIOY,ΝΙΚ.ΚΑΚΛΑΜΑΝΑΚΗ,"504, 740"
